Date,Close,High,Low,Open,Volume
2007-09-26,21.19424819946289,21.445705655556992,21.17987888875285,21.32356925518745,60337000
2007-09-27,21.18705940246582,21.352302332330932,21.15113750304562,21.337934394762428,43407100
2007-09-28,21.165504455566406,21.33074874807363,21.00026153339174,21.187058416414974,45819100
2007-10-01,21.38823127746582,21.402600589179855,21.129589147945126,21.165511056897227,43875100
2007-10-02,21.33793830871582,21.44570539707643,21.24453916055918,21.33793830871582,33700900
2007-10-03,21.1583251953125,21.445704542939374,21.04337345626175,21.34512074352035,37633900
2007-10-04,21.34511947631836,21.388227403652806,21.151139284644312,21.237352398647726,37868000
2007-10-05,21.438526153564453,21.546293269128864,21.35949629599505,21.474448068641518,45012300
2007-10-08,21.438526153564453,21.44571081064651,21.266098494594754,21.309205066753872,30265400
2007-10-09,21.625316619873047,21.83366613122968,21.55347144100314,21.575025405763956,63603100
2007-10-10,21.718713760375977,21.819297555996364,21.575024777155484,21.582209431866424,32251500
2007-10-11,21.488811492919922,22.00609432804655,21.402598372231907,21.76900619065524,50788400
2007-10-12,21.675609588623047,21.84085255416728,21.51755127858068,21.575027152262713,31121100
2007-10-15,21.582210540771484,21.790560056762768,21.55347192045112,21.62531710091919,47150500
2007-10-16,21.78338050842285,21.97017747329805,21.718719967876318,21.725904624640727,56286200
2007-10-17,22.32939910888672,22.4371662053013,22.020465760920732,22.092310948641448,86092400
2007-10-18,22.386871337890625,22.437162550002153,22.00609286423758,22.429977895367255,49208600
2007-10-19,21.675609588623047,22.336582821132914,21.63250302594475,22.336582821132914,75200200
2007-10-22,21.919889450073242,22.056395207882293,21.639694646973986,21.639694646973986,58785100
2007-10-23,22.200082778930664,22.35814249968698,22.063577030186554,22.063577030186554,49956200
2007-10-24,22.451536178588867,22.487458088341402,21.912699310302735,22.16415678956953,77979200
2007-10-25,22.983192443847656,23.148436820715318,22.623967801642475,22.68144368958197,169588700
2007-10-26,25.167266845703125,25.88571582437044,24.829597689381927,25.871346515917253,288121200
2007-10-29,24.8367919921875,25.354076363335526,24.750578843885016,25.03795691844881,114655600
2007-10-30,25.555234909057617,25.569604220298114,24.67872610804849,24.693095419288987,107297300
2007-10-31,26.446115493774414,26.582619852322203,25.51212936048423,25.519315387109252,185635800
2007-11-01,26.625736236572266,26.934669703463804,26.122821099260438,26.244956183969318,152078800
2007-11-02,26.625736236572266,26.941852991701438,26.16592631002027,26.74068803304351,96389800
2007-11-05,26.38863182067871,26.654457187115863,26.316788015911527,26.41018441397577,75485400
2007-11-06,26.158735275268555,26.338347575357094,25.770772049317415,26.2880563505856,100966700
2007-11-07,25.519311904907227,25.97911888218498,25.469020688059086,25.892905759111844,74897800
2007-11-08,24.958913803100586,25.792314344388252,24.714641088895675,25.57677750075789,133742400
2007-11-09,24.233287811279297,24.81523256885077,24.17581330843226,24.55659045437456,125136900
2007-11-12,23.981828689575195,24.218915437416637,23.72318660780964,23.938720762392446,84865200
2007-11-13,24.839611053466797,24.990983535140348,24.06112204076912,24.17645384819571,104311500
2007-11-14,24.45756721496582,25.048642884639644,24.32781862896656,24.954934961478774,84063100
2007-11-15,24.33503532409668,24.58011577832606,24.183662830235786,24.33503532409668,64014100
2007-11-16,24.572914123535156,24.695453002618567,24.298999967716696,24.407124772566306,71113800
